event_id,region_id,original_observation_id,latitude,longitude,acq_date,acq_time,satellite,frp,confidence,instrument,daynight
EVT_20260724_0129,thoothukudi,OBS_00252,8.60956,77.98328,2026-07-24,837,N20,2.56,l,VIIRS,D
EVT_20260724_0130,thoothukudi,OBS_00257,8.75892,78.18311,2026-07-24,839,N20,4.78,l,VIIRS,D
EVT_20260724_0131,thoothukudi,OBS_00258,8.81455,77.97631,2026-07-24,839,N20,7.79,l,VIIRS,D
EVT_20260724_0132,thoothukudi,OBS_00259,8.86727,78.15775,2026-07-24,839,N20,2.68,l,VIIRS,D
EVT_20260724_0133,thoothukudi,OBS_00131,8.57257,78.07323,2026-07-24,2019,N21,5.43,n,VIIRS,N
EVT_20260724_0134,thoothukudi,OBS_00132,8.67059,77.99273,2026-07-24,2019,N21,1.11,n,VIIRS,N
EVT_20260725_0135,thoothukudi,OBS_00133,8.61997,77.95428,2026-07-25,726,N21,3.3,n,VIIRS,D
EVT_20260725_0135,thoothukudi,OBS_00260,8.61767,77.95516,2026-07-25,820,N20,3.83,n,VIIRS,D
EVT_20260725_0136,thoothukudi,OBS_00134,8.84265,77.95689,2026-07-25,726,N21,10.86,n,VIIRS,D
EVT_20260725_0136,thoothukudi,OBS_00135,8.84382,77.95747,2026-07-25,726,N21,10.6,n,VIIRS,D
EVT_20260725_0136,thoothukudi,OBS_00136,8.84852,77.95586,2026-07-25,726,N21,10.86,n,VIIRS,D
EVT_20260725_0136,thoothukudi,OBS_00137,8.84932,77.9601,2026-07-25,726,N21,14.62,n,VIIRS,D
EVT_20260725_0136,thoothukudi,OBS_00138,8.84968,77.95642,2026-07-25,726,N21,10.6,n,VIIRS,D
EVT_20260725_0137,thoothukudi,OBS_00261,8.76865,78.05247,2026-07-25,820,N20,2.81,n,VIIRS,D
EVT_20260725_0138,thoothukudi,OBS_00139,8.77572,78.07705,2026-07-25,2002,N21,0.25,n,VIIRS,N
EVT_20260726_0139,thoothukudi,OBS_00262,8.75737,78.183,2026-07-26,803,N20,8.42,l,VIIRS,D
EVT_20260726_0140,thoothukudi,OBS_00140,8.60473,78.06739,2026-07-26,845,N21,4.14,n,VIIRS,D
EVT_20260726_0141,thoothukudi,OBS_00141,8.64032,77.90717,2026-07-26,848,N21,3.33,n,VIIRS,D
EVT_20260726_0142,thoothukudi,OBS_00263,8.86824,78.12153,2026-07-26,2038,N20,0.49,n,VIIRS,N
EVT_20260727_0143,thoothukudi,OBS_00264,8.67676,78.04872,2026-07-27,741,N20,11.53,n,VIIRS,D
EVT_20260727_0143,thoothukudi,OBS_00265,8.68146,78.04791,2026-07-27,741,N20,5.62,n,VIIRS,D
EVT_20260727_0144,thoothukudi,OBS_00142,8.61868,77.95311,2026-07-27,828,N21,2.5,n,VIIRS,D
EVT_20260727_0145,thoothukudi,OBS_00143,8.72816,78.08289,2026-07-27,828,N21,1.76,n,VIIRS,D
